"","ano_campeonato","data","rodada","estadio","arbitro","publico","publico_max","time_mandante","time_visitante","tecnico_mandante","tecnico_visitante","colocacao_mandante","colocacao_visitante","valor_equipe_titular_mandante","valor_equipe_titular_visitante","idade_media_titular_mandante","idade_media_titular_visitante","gols_mandante","gols_visitante","gols_1_tempo_mandante","gols_1_tempo_visitante","escanteios_mandante","escanteios_visitante","faltas_mandante","faltas_visitante","chutes_bola_parada_mandante","chutes_bola_parada_visitante","defesas_mandante","defesas_visitante","impedimentos_mandante","impedimentos_visitante","chutes_mandante","chutes_visitante","chutes_fora_mandante","chutes_fora_visitante"
"2250",2019,"2019-11-02",30,"Allianz Parque","Felipe Fernandes",29019,43600,"Palmeiras","Ceará SC","Mano Menezes","Adilson Batista",2,15,59,7.65,28.7,29.9,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2251",2007,"2007-05-20",2,"Estádio Olímpico Monumental","Alício Pena Junior",14968,NA,"Grêmio","Fluminense","Mano Menezes","Renato Gaúcho",20,11,3,7.7,28,24,2,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2252",2009,"2009-10-25",31,"Estádio Aderbal Ramos da Silva","Salvio Fagundes Filho",8109,NA,"Avaí FC","Sport Recife","Silas","Péricles Chamusca",10,19,7.35,7.7,26.5,29.1,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2253",2010,"2010-12-05",38,"Arena da Baixada","Paulo César de Oliveira",9879,NA,"Atlético-PR","Avaí FC","Sérgio Soares","Vágner Benazzi",6,15,7.45,7.7,26,25.9,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2254",2020,"2021-02-04",34,"Estádio Governador Plácido Castelo","Anderson Daronco",0,60326,"Fortaleza","Coritiba FC","Enderson Moreira","Gustavo Morínigo",17,19,7.48,7.7,29.8,30.5,3,1,2,1,4,4,18,15,14,17,1,5,0,3,16,5,6,3
"2255",2018,"2018-05-31",8,"Estádio São Januário","Leandro Pedro Vuaden",4584,24584,"Vasco da Gama","Paraná","Zé Ricardo","Rogério Micale",12,20,9.75,7.7,25.7,25.2,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2256",2019,"2019-04-29",1,"Estádio Jornalista Mário Filho","Dewson Fernando Freitas da Silva",17420,82238,"Fluminense","Goiás EC","Fernando Diniz","Claudinei Oliveira",14,10,12.1,7.7,26.6,26,0,1,0,0,5,5,13,8,8,15,0,2,2,0,2,1,7,5
"2257",2020,"2020-09-20",11,"Estádio Nabi Abi Chedid","Jefferson Ferreira Moraes",0,13212,"RB Bragantino","Ceará SC","Maurício Barbieri","Guto Ferreira",20,11,16.5,7.7,25.6,27.7,4,2,3,1,5,9,24,11,10,23,4,5,2,1,18,13,8,4
"2258",2022,"2022-08-14",22,"Estádio Olímpico Nilton Santos","Edina Alves Batista",12230,46931,"Botafogo","Atlético-GO","","",12,19,20.58,7.7,28.8,28.5,0,0,0,0,8,3,18,10,7,17,2,5,0,3,14,11,5,7
"2259",2020,"2021-01-18",30,"Estádio Beira-Rio","Rodrigo D",0,56000,"Internacional","Fortaleza","Abel Braga","Enderson Moreira",3,16,23.7,7.7,26.2,31.2,4,2,2,1,6,1,24,17,16,22,0,1,0,1,11,10,4,4
