,Ano,Time,Total_Viagens_KM,Media_Viagem_KM,Jogos_Fora
280,2016,America-MG,14225.345481659,748.702393771528,19
281,2016,Cruzeiro,14225.345481659,748.702393771528,19
282,2016,Botafogo-RJ,13241.9619585252,696.945366238169,19
283,2016,Flamengo,13241.9619585252,696.945366238169,19
284,2016,Fluminense,13241.9619585252,696.945366238169,19
285,2016,Atletico-MG,13033.0722382161,724.059568789785,18
286,2016,Ponte Preta,12396.0002975134,652.421068290179,19
287,2016,Santos,12174.985586773,640.788715093316,19
288,2016,Corinthians,12012.0817493344,632.214828912338,19
289,2016,Palmeiras,12012.0817493344,632.214828912338,19
290,2016,Sao Paulo,12012.0817493344,632.214828912338,19
291,2017,Sport,37983.7856553031,1999.146613437,19
292,2017,Bahia,25920.2143995678,1364.22181050357,19
293,2017,Vitoria,25920.2143995678,1364.22181050357,19
294,2017,Gremio,22399.506698127,1178.92140516458,19
295,2017,Chapecoense,20100.3926020883,1057.91540010991,19
296,2017,Atletico-GO,19285.3042671484,1015.01601406044,19
297,2017,Avai,16408.0217866655,863.580094035028,19
298,2017,Athletico-PR,14274.6089145088,751.295206026778,19
299,2017,Coritiba,14274.6089145088,751.295206026778,19
300,2017,Atletico-MG,13213.8907275359,695.467933028205,19
301,2017,Cruzeiro,13213.8907275359,695.467933028205,19
302,2017,Botafogo-RJ,12047.4030629392,634.073845417854,19
303,2017,Flamengo,12047.4030629392,634.073845417854,19
304,2017,Fluminense,12047.4030629392,634.073845417854,19
305,2017,Vasco,12047.4030629392,634.073845417854,19
306,2017,Ponte Preta,11489.1566023285,604.692452754133,19
307,2017,Santos,11362.6396925527,598.033668029089,19
308,2017,Corinthians,11163.9317894519,587.575357339573,19
309,2017,Palmeiras,11163.9317894519,587.575357339573,19
310,2017,Sao Paulo,11163.9317894519,587.575357339573,19
311,2018,Ceara,41477.4479547,2183.02357656316,19
312,2018,Sport,36690.4484808186,1931.07623583256,19
313,2018,Bahia,25633.2915834065,1349.12060965297,19
314,2018,Vitoria,25633.2915834065,1349.12060965297,19
315,2018,Gremio,24193.3862071785,1273.33611616729,19
316,2018,Internacional,24193.3862071785,1273.33611616729,19
317,2018,Chapecoense,22304.5946257769,1173.92603293563,19
318,2018,Athletico-PR,16735.8048795086,880.831835763611,19
319,2018,Parana,16735.8048795086,880.831835763611,19
320,2018,America-MG,14348.221756783,755.169566146473,19
321,2018,Atletico-MG,14348.221756783,755.169566146473,19
322,2018,Cruzeiro,14348.221756783,755.169566146473,19
323,2018,Santos,13646.6455591739,718.244503114414,19
324,2018,Botafogo-RJ,13619.7516353537,716.829033439666,19
325,2018,Flamengo,13619.7516353537,716.829033439666,19
326,2018,Fluminense,13619.7516353537,716.829033439666,19
327,2018,Vasco,13619.7516353537,716.829033439666,19
328,2018,Corinthians,13496.8358303589,710.359780545204,19
329,2018,Palmeiras,13496.8358303589,710.359780545204,19
330,2018,Sao Paulo,13496.8358303589,710.359780545204,19
331,2019,Ceara,40699.1394475361,2142.05997092295,19
332,2019,Fortaleza,40699.1394475361,2142.05997092295,19
333,2019,CSA,33779.2839165269,1777.85704823826,19
334,2019,Bahia,26870.6729198079,1414.24594314778,19
335,2019,Gremio,24888.9522946679,1309.9448576141,19
336,2019,Internacional,24888.9522946679,1309.9448576141,19
337,2019,Chapecoense,22998.6459765728,1210.45505139857,19
338,2019,Goias,21399.6167652059,1126.29561922136,19
339,2019,Avai,19580.133122183,1030.53332222016,19
340,2019,Athletico-PR,17826.824631845,938.253927991844,19
341,2019,Atletico-MG,15897.9588197273,836.734674722492,19
342,2019,Cruzeiro,15897.9588197273,836.734674722492,19
343,2019,Botafogo-RJ,15070.2214522546,793.169550118665,19
344,2019,Flamengo,15070.2214522546,793.169550118665,19
345,2019,Fluminense,15070.2214522546,793.169550118665,19
346,2019,Vasco,15070.2214522546,793.169550118665,19
347,2019,Santos,14848.2520906477,781.486952139354,19
348,2019,Corinthians,14683.7310644542,772.827950760748,19
349,2019,Palmeiras,14683.7310644542,772.827950760748,19
350,2019,Sao Paulo,14683.7310644542,772.827950760748,19
351,2020,Ceará SC,39678.1344636923,2088.32286651012,19
352,2020,Fortaleza,39678.1344636923,2088.32286651012,19
353,2020,Sport Recife,36270.368281356,1908.96675165032,19
354,2020,Bahia,26431.7029168546,1391.14225878182,19
355,2020,Grêmio,25979.7122386335,1367.35327571755,19
356,2020,Internacional,25979.7122386335,1367.35327571755,19
357,2020,Atlético-GO,20205.9693917056,1063.47207324766,19
358,2020,Goiás EC,20205.9693917056,1063.47207324766,19
359,2020,Athletico-PR,17935.5077209,943.974090573685,19
360,2020,Coritiba FC,17935.5077209,943.974090573685,19
361,2020,Atlético-MG,15853.1589106748,834.376784772358,19
362,2020,Botafogo,15085.5514642334,793.976392854388,19
363,2020,Flamengo,15085.5514642334,793.976392854388,19
364,2020,Fluminense,15085.5514642334,793.976392854388,19
365,2020,Vasco da Gama,15085.5514642334,793.976392854388,19
366,2020,Santos FC,14673.0465509572,772.265607945117,19
367,2020,Corinthians,14403.1539656135,758.06073503229,19
368,2020,Palmeiras,14403.1539656135,758.06073503229,19
369,2020,São Paulo,14403.1539656135,758.06073503229,19
370,2020,RB Bragantino,14339.2966100522,754.699821581697,19
371,2021,Ceará SC,41122.2460604829,2164.32874002542,19
372,2021,Fortaleza,41122.2460604829,2164.32874002542,19
373,2021,Sport Recife,38052.0388248312,2002.73888551743,19
374,2021,Cuiabá-MT,29952.9066289268,1576.46876994352,19
